,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
0,Ford Figo Duratec Petrol EXI 1.2 - 2015,PLATINUM,Bangalore,"₹3,80,000","35,056 kms ", Petrol,, 2015,Ford
1,Maruti Suzuki Wagon R VXI BS IV - 2016,PLATINUM,Bangalore,"₹4,65,000","44,000 kms ", Petrol,, 2016,Maruti
2,Hyundai Creta 1.6 SX PLUS AUTO PETROL - 2018,PLATINUM,Bangalore,"₹13,50,000","42,917 kms ", Petrol,, 2018,Hyundai
3,Hyundai Venue - 2019,PLATINUM,Chennai,"₹10,19,699","16,112 kms ", Petrol , 2nd Owner, 2019,Hyundai
4,Honda Jazz - 2017,PLATINUM,Pune,"₹7,13,499","30,988 kms ", Petrol , 2nd Owner, 2017,Honda
5,Hyundai i20 - 2013,PLATINUM,Pune,"₹3,91,099","69,163 kms ", Diesel , 2nd Owner, 2013,Hyundai
6,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2015,PLATINUM,Pune,"₹4,74,299","42,859 kms ", Petrol , 2nd Owner, 2015,Maruti
7,Toyota Corolla Altis VL AT - 2017,PLATINUM,Pune,"₹12,52,999","34,919 kms ", Petrol , 1st Owner, 2017,Toyota
8,Honda Amaze - 2013,PLATINUM,Pune,"₹3,93,699","44,940 kms ", Petrol,, 2013,Honda
9,Hyundai Elite i20 Asta 1.2 - 2017,PLATINUM,Pune,"₹7,30,899","13,687 kms ", Petrol , 1st Owner, 2017,Hyundai
10,Maruti Suzuki Alto 800 Vxi O  - 2018,PLATINUM,Pune,"₹3,43,099","29,848 kms ", Petrol , 2nd Owner, 2018,Maruti
11,Honda Jazz - 2018,PLATINUM,Pune,"₹7,07,599","21,426 kms ", Petrol , 2nd Owner, 2018,Honda
12,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹6,88,899","68,177 kms ", Diesel , 2nd Owner, 2016,Maruti
13,Jeep Compass - 2017,PLATINUM,Pune,"₹14,21,599","70,650 kms ", Diesel , 1st Owner, 2017,Jeep
14,Maruti Suzuki Alto K10 Vxi O AMT - 2017,PLATINUM,Pune,"₹3,99,999","25,730 kms ", Petrol , 2nd Owner, 2017,Maruti
15,Kia Seltos - 2019,PLATINUM,Pune,"₹14,73,299","47,096 kms ", Petrol , 2nd Owner, 2019,Kia
16,Toyota Innova 2.5 VX BS III 7 STR - 2012,GOLD,Bangalore,"₹10,25,000","1,31,000 kms ", Diesel,, 2012,Toyota
17,Hyundai Elite i20 ASTA 1.2 O  - 2016,GOLD,Bangalore,"₹7,35,000","26,000 kms ", Petrol,, 2016,Hyundai
18,Hyundai Creta 1.6 CRDI SX PLUS AUTO - 2019,GOLD,Chennai,"₹6,00,000","58,460 kms ", Diesel , 1st Owner, 2019,Hyundai
19,Kia Seltos - 2020,GOLD,Chennai,"₹8,00,000","48,000 kms ", Petrol , 1st Owner, 2020,Kia
20,Maruti Suzuki Ciaz DELTA 1.4 VVT - 2017,GOLD,Hyderabad,"₹7,00,000","26,600 kms ", Petrol,, 2017,Maruti
21,Ford EcoSport Titanium 1.5L Ti VCT - 2019,GOLD,Faridabad,"₹8,20,000","36,000 kms ", Petrol,, 2019,Ford
22,Tata Nano Twist XT - 2014,GOLD,Chennai,"₹1,95,000","39,500 kms ", Petrol,, 2014,Tata
23,Audi Q7 3.0 TDI quattro Premium Plus - 2011,GOLD,Chennai,"₹18,50,000","76,000 kms ", Diesel,, 2011,Audi
24,Ford Ecosport - 2017,PLATINUM,Pune,"₹8,07,499","23,698 kms ", Petrol , 1st Owner, 2017,Ford
25,Hyundai Grand i10 - 2016,PLATINUM,Pune,"₹5,22,999","37,860 kms ", Petrol , 2nd Owner, 2016,Hyundai
26,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2015,PLATINUM,Pune,"₹4,74,299","91,830 kms ", Petrol , 2nd Owner, 2015,Maruti
27,Hyundai Elite i20 - 2019,PLATINUM,Pune,"₹7,40,899","31,172 kms ", Petrol , 2nd Owner, 2019,Hyundai
28,Toyota Yaris - 2021,PLATINUM,Pune,"₹11,41,999","3,243 kms ", Petrol , 2nd Owner, 2021,Toyota
29,Tata Nexon - 2020,PLATINUM,Pune,"₹9,71,299","9,616 kms ", Petrol , 2nd Owner, 2020,Tata
30,Maruti Suzuki Baleno - 2017,PLATINUM,Pune,"₹6,40,999","30,249 kms ", Petrol , 2nd Owner, 2017,Maruti
31,Maruti Suzuki Baleno - 2019,PLATINUM,Pune,"₹6,76,199","60,875 kms ", Petrol , 2nd Owner, 2019,Maruti
32,Maruti Suzuki Swift Vxi - 2017,PLATINUM,Chennai,"₹5,62,399","25,740 kms ", Petrol , 2nd Owner, 2017,Maruti
33,Ford Ecosport 1.0 Ecoboost Titanium Optional - 2014,PLATINUM,Pune,"₹5,80,899","38,587 kms ", Petrol , 2nd Owner, 2014,Ford
34,Renault Triber - 2021,PLATINUM,Pune,"₹7,70,999","3,108 kms ", Petrol , 2nd Owner, 2021,Renault
